"Path","Classification","Confidence","Bytes","Lines","RuntimeHits","LatestRequest","LatestStatus","ExactProductionRefs","TestRefs","ArtifactRefs","GitTracked","GitStatus","Evidence","ProductionSamples"
"public/assets/css/article/article-frontend-2026.css","USED_RUNTIME_OBSERVED","High","37668","1652","730","04/Sep/2026:05:24:55 +0700","200","5","3","0","True","","Direct production reference and target-host access-log request observed.","resources\views\manage_article\templates\preview.blade.php;resources\views\article\private.blade.php;resources\views\article\password-protected.blade.php"
"public/assets/css/article/article-template-manager-2026.css","USED_RUNTIME_OBSERVED","High","14888","716","61","04/Sep/2026:05:24:55 +0700","200","1","2","0","True","","Direct production reference and target-host access-log request observed.","resources\views\manage_article\templates\index.blade.php"
"public/assets/css/aruna-admin-v6.css","UNUSED_HIGH_CONFIDENCE","High","7926","401","0","","","0","0","1","True","","No production/test/import/database reference; no target-host access-log hit; only prior audit/artifact mentions.",""
"public/assets/css/aruna-admin-v7-phoenix-elegant.css","UNUSED_HIGH_CONFIDENCE","High","22158","903","0","","","0","0","1","True","","No production/test/import/database reference; no target-host access-log hit; only prior audit/artifact mentions.",""
"public/assets/css/aruna-admin-v7-simple-part-2.css","UNUSED_HIGH_CONFIDENCE","High","5850","266","0","","","0","0","1","True","","No production/test/import/database reference; no target-host access-log hit; only prior audit/artifact mentions.",""
"public/assets/css/aruna-admin-v7-simple.css","UNUSED_HIGH_CONFIDENCE","High","5850","266","0","","","0","0","1","True","","No production/test/import/database reference; no target-host access-log hit; only prior audit/artifact mentions.",""
"public/assets/css/aruna-admin-v7.css","UNUSED_HIGH_CONFIDENCE","High","5392","249","0","","","0","0","1","True","","No production/test/import/database reference; no target-host access-log hit; only prior audit/artifact mentions.",""
"public/assets/css/aruna-v3.css","UNUSED_HIGH_CONFIDENCE","High","39704","3588","0","","","0","0","1","True","","No production/test/import/database reference; no target-host access-log hit; only prior audit/artifact mentions.",""
"public/assets/css/aruna-v4.css","USED_CONDITIONAL_REACHABLE","High","13738","619","0","","","1","0","1","True","","Setup route /setup is active and setup.blade.php links this file.","resources\views\setup\setup.blade.php"
"public/assets/css/awesome-admin-header-navigation.css","USED_RUNTIME_OBSERVED","High","83384","3529","64","03/Sep/2026:11:27:09 +0700","200","1","1","0","True","","Direct production reference and target-host access-log request observed.","resources\views\awesome_admin\header_navigation\awesome_admin_header_navigation.blade.php"
"public/assets/css/extending-css-bootstrap-5.css","USED_RUNTIME_OBSERVED","High","69805","6423","122","25/Aug/2026:22:36:29 +0700","200","8","0","0","True","","Direct production reference and target-host access-log request observed.","resources\views\themes\default\cms\cms_layout.blade.php;resources\views\themes\calm_green\frontend\frontend_layout.blade.php;resources\views\themes\calm_green\cms\cms_layout.blade.php"
"public/assets/css/frontend_elementor_v23.css","USED_RUNTIME_OBSERVED","High","58823","1498","146","29/Aug/2026:22:59:22 +0700","304","2","9","10","True","","Direct production reference and target-host access-log request observed.","resources\views\pagebuilder_elementor_v23\frontend_renderer.blade.php;resources\views\pagebuilder_elementor_v23\editor_shell.blade.php"
"public/assets/css/frontend_elementor_v24.css","USED_RUNTIME_OBSERVED","High","7216","305","111","30/Aug/2026:19:17:39 +0700","200","2","5","12","True","","Direct production reference and target-host access-log request observed.","resources\views\pagebuilder_elementor_v24\frontend_renderer.blade.php;resources\views\pagebuilder_elementor_v24\editor_shell.blade.php"
"public/assets/css/frontend_elementor.css","USED_RUNTIME_OBSERVED","High","53606","1166","339","27/Aug/2026:21:07:22 +0700","200","2","13","0","True","","Direct production reference and target-host access-log request observed.","resources\views\pagebuilder_elementor\frontend_renderer.blade.php;resources\views\pagebuilder_elementor\editor_shell.blade.php"
"public/assets/css/frontend-menu-dropdown.css","USED_RUNTIME_OBSERVED","High","22147","1160","160","03/Sep/2026:20:52:15 +0700","200","7","0","0","True","","Direct production reference and target-host access-log request observed.","resources\views\themes\default\frontend\frontend_layout.blade.php;resources\views\themes\calm_green\frontend\frontend_layout.blade.php;resources\views\themes\arunika_prism\frontend\frontend_layout.blade.php"
"public/assets/css/pagebuilder_elementor_v23.css","USED_RUNTIME_OBSERVED","High","286083","11707","320","29/Aug/2026:22:59:22 +0700","304","1","15","10","True","","Direct production reference and target-host access-log request observed.","resources\views\pagebuilder_elementor_v23\editor_shell.blade.php"
"public/assets/css/pagebuilder_elementor_v24.css","USED_RUNTIME_OBSERVED","High","181675","7521","146","30/Aug/2026:19:17:39 +0700","200","1","11","25","True","","Direct production reference and target-host access-log request observed.","resources\views\pagebuilder_elementor_v24\editor_shell.blade.php"
"public/assets/css/pagebuilder_elementor.css","USED_RUNTIME_OBSERVED","High","219812","9371","451","27/Aug/2026:21:07:22 +0700","200","1","18","0","True","","Direct production reference and target-host access-log request observed.","resources\views\pagebuilder_elementor\editor_shell.blade.php"
"public/assets/css/pagebuilder.css","USED_CONDITIONAL_REACHABLE","High","42262","1783","0","","","1","0","0","True","","Legacy /pagebuilder route is active and pagebuilder.blade.php links this file.","resources\views\pagebuilder\pagebuilder.blade.php"
"public/assets/css/phoenix-cms.css","USED_RUNTIME_OBSERVED","High","41006","2038","1568","04/Sep/2026:23:26:58 +0700","200","19","0","11","True","","Direct production reference and target-host access-log request observed.","resources\views\themes\default\frontend\frontend_layout.blade.php;resources\views\themes\arunika_aurora\frontend\frontend_layout.blade.php;resources\views\themes\default\cms\cms_layout.blade.php"
"public/assets/css/theme-responsive-typography.css","USED_RUNTIME_OBSERVED","High","8607","275","1350","04/Sep/2026:23:26:58 +0700","200","13","1","16","True"," M public/assets/css/theme-responsive-typography.css","Direct production reference and target-host access-log request observed.","resources\views\themes\default\cms\cms_layout.blade.php;resources\views\article\private.blade.php;resources\views\article\password-protected.blade.php"
"public/assets/css/themes/arunika_aurora/arunika_aurora.css","USED_RUNTIME_OBSERVED","High","58632","3054","271","04/Sep/2026:15:56:16 +0700","200","1","10","4","True","","Direct production reference and target-host access-log request observed.","resources\views\themes\arunika_aurora\cms\cms_layout.blade.php"
"public/assets/css/themes/arunika_aurora/mobile-v2.css","USED_RUNTIME_OBSERVED","High","21116","778","103","04/Sep/2026:15:56:16 +0700","200","1","2","4","False","?? public/assets/css/themes/arunika_aurora/mobile-v2.css","Direct production reference and target-host access-log request observed.","resources\views\themes\arunika_aurora\cms\cms_layout.blade.php"
"public/assets/css/themes/arunika_equinox/arunika_equinox.css","USED_RUNTIME_OBSERVED","High","111718","5216","137","04/Sep/2026:23:26:58 +0700","200","1","3","8","True","","Direct production reference and target-host access-log request observed.","resources\views\themes\arunika_equinox\cms\cms_layout.blade.php"
"public/assets/css/themes/arunika_equinox/mobile-v2.css","USED_RUNTIME_OBSERVED","High","10772","407","20","04/Sep/2026:23:26:58 +0700","200","1","2","2","False","?? public/assets/css/themes/arunika_equinox/mobile-v2.css","Direct production reference and target-host access-log request observed.","resources\views\themes\arunika_equinox\cms\cms_layout.blade.php"
"public/assets/css/themes/arunika_lucent/arunika_lucent.css","USED_RUNTIME_OBSERVED","High","108291","5130","345","04/Sep/2026:14:11:45 +0700","200","3","4","11","True"," M public/assets/css/themes/arunika_lucent/arunika_lucent.css","Direct production reference and target-host access-log request observed.","resources\views\themes\arunika_lucent\frontend\frontend_layout.blade.php;resources\views\themes\arunika_lucent\cms\cms_layout.blade.php;resources\views\themes\arunika_lucent\auth\auth_layout.blade.php"
