"Path","ExactProd","BaseProd","Tests","Artifacts","ProdSamples","BaseSamples"
"public/assets/css/article/article-frontend-2026.css","5","5","3","0","resources\views\manage_article\templates\preview.blade.php;resources\views\article\private.blade.php;resources\views\article\password-protected.blade.php","resources\views\article\private.blade.php;resources\views\article\password-protected.blade.php;resources\views\article\detail.blade.php"
"public/assets/css/article/article-template-manager-2026.css","1","1","2","0","resources\views\manage_article\templates\index.blade.php","resources\views\manage_article\templates\index.blade.php"
"public/assets/css/aruna-admin-v6.css","0","0","0","1","",""
"public/assets/css/aruna-admin-v7-phoenix-elegant.css","0","0","0","1","",""
"public/assets/css/aruna-admin-v7-simple-part-2.css","0","0","0","1","",""
"public/assets/css/aruna-admin-v7-simple.css","0","0","0","1","",""
"public/assets/css/aruna-admin-v7.css","0","0","0","1","",""
"public/assets/css/aruna-v3.css","0","0","0","1","",""
"public/assets/css/aruna-v4.css","1","1","0","1","resources\views\setup\setup.blade.php","resources\views\setup\setup.blade.php"
"public/assets/css/awesome-admin-header-navigation.css","1","1","1","0","resources\views\awesome_admin\header_navigation\awesome_admin_header_navigation.blade.php","resources\views\awesome_admin\header_navigation\awesome_admin_header_navigation.blade.php"
"public/assets/css/extending-css-bootstrap-5.css","8","8","0","0","resources\views\themes\default\cms\cms_layout.blade.php;resources\views\themes\calm_green\frontend\frontend_layout.blade.php;resources\views\themes\calm_green\cms\cms_layout.blade.php","resources\views\themes\default\cms\cms_layout.blade.php;resources\views\themes\calm_green\frontend\frontend_layout.blade.php;resources\views\themes\calm_green\cms\cms_layout.blade.php"
"public/assets/css/frontend_elementor_v23.css","2","2","9","10","resources\views\pagebuilder_elementor_v23\frontend_renderer.blade.php;resources\views\pagebuilder_elementor_v23\editor_shell.blade.php","resources\views\pagebuilder_elementor_v23\frontend_renderer.blade.php;resources\views\pagebuilder_elementor_v23\editor_shell.blade.php"
"public/assets/css/frontend_elementor_v24.css","2","2","5","12","resources\views\pagebuilder_elementor_v24\frontend_renderer.blade.php;resources\views\pagebuilder_elementor_v24\editor_shell.blade.php","resources\views\pagebuilder_elementor_v24\frontend_renderer.blade.php;resources\views\pagebuilder_elementor_v24\editor_shell.blade.php"
